"","Calories","Protein","Carbs","Fat","Sugar","Sodium"
"Apple pie",313,4.44,38.7,15,25.8,0.23
"Baby back ribs",270.536111593939,23.0695454545455,0.0359090909090909,19.3691666666667,0,63.6771212121212
"Baklava",463,10.4,50,24.5,39.6,0.075
"Beef carpaccio",278,15.2,2.37,23,0.3,1.1
"Beef tartare",520,0.99,4.6,55,3.11,1.94
"Beet salad",39.6798470333333,1.498,8.738,0.148,5.66615384615385,150.418666666667
"Beignets",239.7,9.948,17.891,13.818,2.839,1.518
"Bibimbap",15,1.1,2.4,0.5,1.06,498
"Bread pudding",215.069042015385,2.99307692307692,42.4348717948718,3.9524358974359,24.7371428571429,462.718025641026
"Breakfast burrito",277,11.1,22.97,15.63,2.57,744
"Bruschetta",94.6163798611111,3.18944444444444,11.18,4.14722222222222,5.91588235294118,34.6871666666667
"Caesar salad",234.109090909091,8.63272727272727,20.6863636363636,12.9263636363636,4.72636363636364,595.614818181818
"Cannoli",82.9206798732787,4.68610793650794,10.654563015873,2.45343141269841,5.85705096774194,245.130751977671
"Caprese salad",319.945898956701,1.87936936936937,11.4522522522523,27.5919009009009,7.04978494623656,430.748203603604
"Carrot cake",358.757619502,5.70051333333333,54.1860402684564,13.267678,27.0538725490196,278.036765100671
"Ceviche",186.25,15.676,3.35,9.302,0.976,2.676
"Cheesecake",308.333333333333,5.19,30.9,18.5,21.7,272.793333333333
"Cheese plate",192,6.46,15.58,11.51,2.83,374
"Chicken curry",196.954233814286,8.13,21.1157142857143,8.06142857142857,3.282,175.045714285714
"Chicken quesadilla",357.5,13.7425,30.06,20.2375,7.7575,658.25
"Chicken wings",200.027937722857,20.3749295774648,9.2669014084507,9.67549295774648,3.7204347826087,223.399771428571
"Chocolate cake",427.2211998,6.12675,45.7925,23.960425,33.48875,10.33075
"Chocolate mousse",251.96328872,5.89,35.94,10.296,19.9,116.282
"Churros",407.333333333333,5.32,47.48,22.22,24.3185714285714,354.111111111111
"Clam chowder",60.5555555555556,2.33,7.57222222222222,2.34888888888889,1.03333333333333,363.777777777778
"Club sandwich",238.5,16.285,21.24,9.905,4.835,617.5
"Crab cakes",155,20.21,0.48,7.52,NA,330
"Creme brulee",282,4.46,19,20.8,15.6,0.11
"Croque madame",224.801016229114,13.5665189873418,17.7481012658228,10.7912451898734,3.78107692307692,295.715677070064
"Cup cakes",358.757619502,5.70051333333333,54.1860402684564,13.267678,27.0538725490196,278.036765100671
"Deviled eggs",224.801016229114,13.5665189873418,17.7481012658228,10.7912451898734,3.78107692307692,295.715677070064
"Donuts",407.333333333333,5.32,47.48,22.22,24.3185714285714,354.111111111111
"Dumplings",100.75,3.875,15.9,2.15,1.235,25.805
"Edamame",115,11.565,8.26,4.965,2.33,6
"Eggs benedict",258.8432122,0,33,0,NA,0
"Escargots",155.30376035,14.0816666666667,5.14666666666667,8.48666666666667,0.482,23.9083333333333
"Falafel",292.5,10.78,25.27,16.1,1.4,147.8
"Filet mignon",145.5,23.65,0.2,5.595,0,0.12
"Fish and chips",216.5,23.515,0,13.6,0,43.62
"Foie gras",496.4902007625,7.70625,2.357,50.6925,1.046,180.455
"French fries",265.916666666667,3.365,35.2841666666667,12.0583333333333,0.366666666666667,176.344416666667
"French onion soup",73.5502465319149,2.97021276595745,10.3107659574468,2.29923404255319,2.08978378378378,818.432476595745
"French toast",272.6,6.644,33.864,12.382,11.16,360.582
"Fried calamari",146.859484558333,16.7908333333333,6.5517425,5.775,1.16142857142857,138.585
"Fried rice",174,4.05,32.79,2.96,0.56,387
"Frozen yogurt",144.666666666667,3.60333333333333,23.2833333333333,4.46666666666667,18.9425,78.4
"Garlic bread",350,8.36,41.72,16.61,3.69,544
"Gnocchi",184.2,5.356,34.86,2.14,3.006,1.34
"Greek salad",126.652941176471,8.449,12.1395,4.4165,7.85,31.604145
"Grilled cheese sandwich",276,14.7,23.4,13.3,NA,0.42
"Grilled salmon",202.507143615278,21.6302777777778,2.08041666666667,11.69875,0.24875,185.472970588235
"Guacamole",180.62,2.18,5.85,16.5,2.65,1.38
"Gyoza",116.5,4.91166666666667,16.8783333333333,3.08666666666667,1.15,103.87
"Hamburger",253.272727272727,11.6636363636364,32.7968181818182,8.35590909090909,5.953125,417.067272727273
"Hot and sour soup",39,2.58,4.35,1.21,0.42,376
"Hot dog",209.666666666667,8.52333333333333,38.53,2.81666666666667,6.41,660.333333333333
"Huevos rancheros",140.2933198,10.6475,5.7,8.2131,4.96,126.8275
"Hummus",210.333333333333,6.98666666666667,13.8366666666667,14.03,0.825,207.396666666667
"Ice cream",234.769002507792,4.25337662337662,28.96,11.527012987013,18.5208571428571,63.6570909090909
"Lasagna",162.411764705882,7.21941176470588,20.3458823529412,5.63705882352941,3.813125,402.764705882353
"Lobster bisque",97.2211878583333,19.7525,0.875,1.3959525,0,182.2025
"Lobster roll sandwich",97.2211878583333,19.7525,0.875,1.3959525,0,182.2025
"Macaroni and cheese",170,6.73818181818182,22.4136363636364,5.93545454545455,2.60909090909091,333.727272727273
"Macarons",189.518518518519,6.87518518518519,27.9725925925926,5.50259259259259,4.80192307692308,374.339259259259
"Miso soup",17.1,1.38,2.18,0.5,0.69,1.1
"Mussels",151.7,10.965,5.1225,9.435,1.68333333333333,1.16666666666667
"Nachos",283.75,5.265,28.15,16.99,1.9,330.5
"Omelette",175.666666666667,10.6833333333333,4.38166666666667,12.6883333333333,0.843333333333333,0.726666666666667
"Onion rings",348.25,4.31875,39.29625,19.4975,4.95714285714286,617
"Oysters",129.17505258,11.2745,11.1076666666667,4.21033333333333,0.437619047619048,289.339133333333
"Pad thai",236,3.87,52.095,0.38,0.075,100.5
"Paella",147.297801133333,7.92666666666667,19.89,3.75333333333333,1.2,159.333333333333
"Pancakes",268.944444444444,7.40111111111111,48.0783333333333,5.21888888888889,6.984,707.166666666667
"Panna cotta",207,2.41,22.6,10.7,19.2,0.13
"Peking duck",265.269348348837,16.763023255814,3.13176744186047,20.3895644186046,1.5322,44.6578048780488
"Pho",321.5,22.2525,43.3525,8.3925,36.5133333333333,2849.5
"Pizza",266.600770230189,11.332641509434,30.9125471698113,10.7098113207547,3.5787,465.235849056604
"Pork chop",230.158143361694,19.9701104972376,1.94222222222222,15.5121024677716,0.568127753303965,443.405233208955
"Poutine",248.733333333333,3.22666666666667,33.6513333333333,11.002,0.380666666666667,189.9422
"Prime rib",233.750152556839,20.4217933130699,4.5519452887538,14.7375401215805,1.76774193548387,66.6883436532508
"Pulled pork sandwich",168,13.19,18.74,4.42,15.2,666
"Ramen",417.5,10.335,62.945,13.835,1.695,1676.25
"Ravioli",157.344444444444,6.37388888888889,22.2538888888889,4.43777777777778,2.79222222222222,116.983333333333
"Red velvet cake",124,19.5,NA,5.1,NA,370
"Risotto",142.25,4.5725,15.785,6.455,1.25,0.905
"Samosa",237,9.33,18.1,13.7,2.67,1.26
"Sashimi",154.284805408028,13.7858039657503,7.21489673893406,7.53992018566922,2.02103207230392,61.4987842049632
"Scallops",217,7.975,20,11.25,2.65,1.15
"Seaweed salad",115.116666666667,9.70083333333333,18.9141666666667,1.2675,1.03111111111111,611.818583333333
"Shrimp and grits",157.260665451515,13.369696969697,10.6472727272727,6.68216463636364,2.15739130434783,435.095151515152
"Spaghetti bolognese",161.168423928571,7.49571428571429,17.6771428571429,6.31,3.01166666666667,62.3
"Spaghetti carbonara",212.107393233333,6.187,7.93666666666667,17.1464666666667,1.6,62.4833333333333
"Spring rolls",81.6556666090909,4.89090909090909,11.9309090909091,1.71709090909091,1.19,48.75199
"Steak",192.936305732484,24.1457324840764,0.591337579617834,10.1092144373673,0.0493736501079914,77.7444663774403
"Strawberry shortcake",346,6.1,48.5,14.2,NA,506
"Sushi",191,7.75,22.6,7.6,4.1,0.51
"Tacos",259.428571428571,8.84095238095238,30.3514285714286,11.2304761904762,2.26642857142857,819.47619047619
"Takoyaki",96.7877765714286,18.7171428571429,2.11428571428571,1.26428571428571,0,180.021666666667
"Tiramisu",279,4.14,36.7,11.3,21.4,0.18
"Tuna tartare",520,0.99,4.6,55,3.11,1.94
"Waffles",278.25,5.84875,43.08125,9.17,5.01142857142857,574.875
